ASL-LEX_add_translation
ASL-LEX_add_translation,,,
Entry,Gloss,Definition,Comment
L_1_dollar,1_dollar,"bill, cash, dollar, money",
L_5_dollars,5_dollars,"dollar, five dollars, money",
L_8_hour,8_hour,"eight hours, 8 hours, hour, time",
L_9_oclock,9_oclock,"9:00, 9 o'clock, nine o'clock, o'clock, time",
L_a_little_bit,a_little_bit,"a little bit, little, few, minimal, scarce",
L_abbreviate,abbreviate,"brief, for a short time, quick, short, shortly",
L_about_1,about,"about, regarding, with reference to",
L_about_2,about,"about, regarding, with reference to",
L_absolutely_nothing,absolutely_nothing,"absolutely nothing, all out, depleted, empty, none, nothing, zilch",
L_accent,accent,"accent, dialect, language, regional language",
L_accept,accept,"accept, adopt, agree to, embrace, own, passive, take responsibility for, tolerate",
L_access,access,"access, accessible, accessibility, admission, entrance",
L_accident,accident,"accident, collide, crash, hit, oops, vehicle, wreck",
L_accomplish,accomplish,"accomplish, at last, effective, finally, pah, succeed, success",
L_accordion,accordion,"accordion, musical instrument",
L_accountant,accountant,"accountant, count, money, person",
L_acquire,acquire,"acquire, acquisition, pick up",
L_act,act,"act, drama, perform, performance, put on a play, show, theater",
L_action,action,"act, action, activity, behavior, do, event",
L_actor,actor,"act, acting, actor, actress, entertainer, performer, thespian",
L_add,add,"add, bonus, enhance, extra, in addition to, math",
L_addict,addict,"addict, addicted, addiction, habit, hooked",
L_address,address,"address, alive, habitat, life, live, lives, reside, resident, survive",
L_admire,admire,"admire, anticipate, look up to, respect, think highly of",
L_admit,admit,"admit, be willing, confess, declare",
L_adopt,adopt,"adopt, assume, host, take on, take over, take responsibility for, take up, undertake",
L_adult,adult,adult,
L_advantage,advantage,"advantage, exploit, opportunity, to take advantage",
L_advertise,advertise,"ad, advertise, advertisement, commercial, marketing, publicize",
L_africa,africa,"Africa, continent, geography",
L_after,after,"across, after, next, over",
L_afternoon,afternoon,"afternoon, noon",
L_again,again,"again, another, repeat",
L_against,against,"against, anti, lawsuit, opposed, sue",
L_age,age,"age, age group, generation, how old, length of life, number of years, old",
L_agency,agency,"agency, association, organization",
L_agreement,agreement,"agree, agreement, consensus, mutual",
L_airplane,airplane,"airline, airplane, airport, flight, fly, plane",
L_alarm,alarm,"alarm, alert, bell, doorbell-ring, phone-ring, ring, signal",
L_alaska,alaska,"Alaska, state",
L_alcohol,alcohol,"alcohol, booze, drink, liquor, whisky, whiskey",
L_align,align,"align, alignment, to combine, to flow, to put together, to work out, works out",
L_a-line_bob,a-line_bob,a-line_bob,
L_all,all,"all, entire, everything, whole",
L_all_day,all_day,"all day, day, duration of time, time",
L_all_gone,all_gone,"all gone, depleted, empty, finished, gone, none, nothing, zilch, all-gone",
L_all_of_sudden,all_of_sudden,all_of_sudden,
L_all_over,all_over,"all over, ALL-OVER, all around, everywhere, here, spread, vicinity",
L_all_over_body,all_over_body,all_over_body,
L_all_together,all_together,"all together, altogether, comprehensive, overall, sum, sum up, total",
L_all_way,all_way,"all-way, all the way, completely, entirety, the whole time",
L_alone,alone,"alone, by oneself, lonely, only one",
L_alphabet,alphabet,"ABCs, alphabet, alphabetical, alphabetical order",
L_alright,alright,"all right, alright, okay, sure",
L_always,always,"alone, always, only, somebody, someone, something",
L_amazing,amazing,"amazing, awesome, disbelief, fascinating, incredible, wow",
L_america,america,"America, United States, US, USA",
L_analyze,analyze,"analysis, analyze, assess, examine, interesting, study, vee, vee vee, VEE, VEE-VEE",
L_and,and,"and, also",
L_angel,angel,"angel, cherub, cherubim",
L_angry,angry,"anger, angry, enraged, furious, infuriated, mad",
L_animal,animal,"animal, beast, creature",
L_announce,announce,"announce, announcement, declaration, declare, make known",
L_answer,answer,"answer, reply, report, respond, response, order",
L_antlers,antlers,"antlers, ANTLERSstr, deer, moose",
L_any,any,"any, some",
L_anyone,anyone,anyone,
L_apart,apart,apart,
L_appear,appear,"appear, show, show up",
L_apple,apple,"apple, food, fruit",
L_appointment,appointment,"appoint, appointment, assign, reservation, reserve",
L_april,april,april,
L_archeology,archeology,"archaeology, archeology, dig, mine",
L_area,area,"area, domain, field, local, location, place, region, sector, zone",
L_argue,argue,"argue, debate, fight",
L_arizona,arizona,"Arizona, state",
L_arm,arm,"arm, body part, limb",more common
L_arm_2,arm,"arm, body part, limb",
L_arm_3,arm,arm,
L_army,army,"army, military, soldier",
L_arrest_1,arrest,"arrest, arrested, detain, shackle",more common
L_arrest_2,arrest,"busted, caught, pregnant, to be in trouble",
L_arrest_3,arrest,arrest,not found
L_arrive,arrive,"arrival, arrive, come, get here",
L_art,art,"art, design, draw, drawing, illustrate, illustration, picture",
L_article,article,"academic article, article, column, essay, journal, literature, research",
L_articulate_sign,articulate_sign,"articulate-sign, chat, conversation, discuss, fluent, fluency, sign, socialize, to perform in sign, to pronounce, to sign something",
L_asia,asia,"Asia, continent, geography",
L_ask,ask,"ask, inquire, query, question, request",
L_assembly,assembly,"assembly, Atlanta, city",
L_assign,assign,"assign, assignment, move, place, placement, put there, set, set in place",
L_assist,assist,"aid, aide, assist, assistant, help, volunteer",
L_assistant,assistant,"aid, aide, assist, assistant, help, volunteer",
L_astronaut,astronaut,"astronaut, rocket, space",
L_at,at,"at, location, place",
L_athlete,athlete,"athlete, athletic",
L_atlanta,atlanta,atlanta,
L_attention,attention,"alert, attention, attentive, aware, focus, pay attention",
L_attitude,attitude,attitude,
L_auditorium,auditorium,"a lot, audience, auditorium, crowd, full, many, people",
L_aunt,aunt,"aunt, family, female relative, relative",
L_australia,australia,"Australia, continent, country, geography",
L_autism_1,autism,"autistic, autism",
L_autism_2,autism,"autism, A neuro-biological condition, present from early childhood, characterized by difficulty in communicating and forming relationships with other people and in using language and abstract concepts.","ref_handspeak,ref_signbank (autism, include, incorporate, inherent, internalize, involve, within), more common"
L_automatic,automatic,"automated, automatic, default, instantly",
L_average,average,"average, math, mid, range",
L_avoid,avoid,"avoid, behind, fall behind, keep away, refrain",
L_awake,awake,"awake, open eyes, open your eyes, surprise, wake, wake up",
L_award,award,"award, prize, reward, trophy",
L_away,away,"away, be away, far away, go away, let go, went",
L_awkward,awkward,"awkward, clumsy, tricky, problematic",
L_axe_1,axe,"axe, hatchet, tomahawk",ref_handspeak
L_axe_2,axe,axe,
L_baby,baby,"baby, infant",more common
L_baby_2,baby,"babe, baby, child, infant, kid",ref_signbank
L_babysitter,babysitter,"babysitter, caretaker, supervise",
L_bachelor,bachelor,"bachelor, bachelorette",
L_back,back,"back, back of something, behind, in the back, in the rear of, posterior, rear, to back up, to go backward, towards the back",
L_back_out,back_out,"back out, leave, quit, resign, step down",
L_back_up,back_up,back_up,
L_backpack_1,backpack,"backpack, knapsack, BACKPACKc",
L_backpack_2,backpack,"backpack, knapsack",
L_backyard,backyard,backyard,
L_bacon,bacon,"bacon, food, pork",
L_bad,bad,bad,
L_badge,badge,badge,
L_bag,bag,"bag, handbag, luggage, purse, suitcase, bucket, pail, container",more common
L_bag_2,bag,bag,
L_bake_1,bake,"bake, cook, food, oven",
L_bake_2,bake,"bake, cook, food, oven",
